Cultivos y cubiertas de suelo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01030 CEBADA DE 2 CARRERAS,2782716.9311,2914731.8652000003,2897694.6698,2946769.8125,3209349.5967999995,2828669.788,2671809.4952000002,2532110.5960000004,2548439.014600001,2668013.2862000004,2661482.8148999996,2590358.5232,2463479.3646,2563046.6231000004,2454758.7492999993,2635500.9437,2625790.6089000003,2517670.3754000003,2384903.2668999997,2342922.9474,2250589.2896
0115 CORUÑA (LA),,59.6486,103.209,75.46430000000001,63.489,71.6445,108.6875,26.0817,45.7321,40.2951,49.161,57.0961,104.7716,117.6524,96.2625,3.1405,171.8735,155.3768,203.6442,156.5303,0.3111
0127 LUGO,,,,,9.5007,214.247,165.5925,159.6946,285.1904,189.4459,188.3961,243.1672,176.1513,176.154,176.1656,21.4982,21.4982,,,,
0132 ORENSE,22.8017,86.1199,92.6536,29.3998,29.8272,25.5585,28.4889,48.7582,134.2361,162.6297,315.0523,316.7655,184.3379,389.1397,230.8332,633.2086,439.9019,453.2866,711.3557000000001,528.1613,993.0903000000001
0136 PONTEVEDRA,101.0498,,,30.749399999999998,30.8803,3.9644,2.071,2.2513,,4.5777,,0.9826,7.0465,,,,,,,,
0339 CANTABRIA,364.152,271.3232,342.9743,237.2183,24.0017,157.2242,,327.1642,28.292,0.8432,239.8391,,,106.1376,,49.7476,156.5402,,115.0568,,115.051
0401 ALAVA,13535.9898,12937.2347,12751.7402,18070.0084,13110.7452,17259.7169,15366.539,14772.397,14255.0118,15025.8733,13651.6725,15877.2889,15856.0651,15850.7601,15720.0185,14017.1988,18819.8962,15436.2233,14856.0165,13810.0708,14832.3546
0531 NAVARRA,109545.38279999999,120373.21160000001,114932.1486,102175.4917,107235.0425,100648.9113,90329.30189999999,90317.89600000001,90610.9902,96340.3096,91486.0932,88420.276,86623.7727,85034.79019999999,82241.4479,72021.1182,72264.0631,62987.391299999996,66415.9933,57008.2124,69236.65909999999
0626 LA RIOJA,14656.7137,16471.0357,16998.152700000002,20684.1953,27693.5729,28215.3822,15711.1878,16043.1136,13823.5292,18239.784,17344.9436,17209.465,20922.707000000002,18685.5746,18157.000900000003,18804.9975,22325.435699999998,17683.0817,18574.3122,20564.5184,20180.584300000002
0722 HUESCA,191660.5777,214271.3128,221560.41509999998,219162.5305,236590.3405,228216.8165,212529.275,200273.98369999998,188725.095,204590.1523,223077.9079,195356.6003,205005.8591,206485.7247,185723.4069,199661.7649,192780.0359,183154.6427,177266.2168,185817.9235,171031.4901
0744 TERUEL,88076.798,100706.5989,90455.48830000001,93424.2889,100132.4889,94601.4874,103337.4133,103166.93019999999,100473.6715,109415.5011,113839.8474,117766.0165,99884.45790000001,108012.10560000001,110957.6799,109292.6478,112407.5199,121808.9532,119910.1872,111786.0511,96061.9056
0750 ZARAGOZA,56417.2549,58984.9228,81259.765,107537.0554,117435.0248,114703.59340000001,121747.9512,129939.7522,144016.5467,163248.0185,185047.7117,172421.1713,159283.0327,182101.5234,176498.9165,196288.5024,197585.3275,172632.3567,163967.4521,165098.7996,176388.5074
0808 BARCELONA,53073.6558,50167.7719,51772.5874,46236.2473,53023.5588,51596.8779,50640.5351,43987.578799999996,45824.871399999996,48603.6078,45718.387800000004,43531.903900000005,43388.1907,43791.7201,35870.5549,52451.3462,45916.1017,42132.133599999994,38127.7194,40327.0506,33936.6207
0817 GIRONA,13681.7523,16059.112,16624.975,14381.1838,15803.7997,14232.0588,14328.9385,12083.092499999999,13173.3822,11927.3584,15772.182,16366.0381,16777.2743,17222.4562,14602.197100000001,19972.3122,15685.2564,16258.8448,20931.8917,18769.3014,19543.2386
